testCaseId,db_connection_details,query_details,where_clause_columns,where_clause_values,expected_value,polling_timeout,external_view_service_name
SONP-38899_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;distance_q4,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144033_FPC_MAXIMO_SUB,ManagedElement=144033_FPC_MAXIMO_SUB,ENodeBFunction=1,EUtranCellFDD=144033_2'";'2020-07-06 12:00:00',4216.32,1,eric-tcp-traffic-forward-kpi
SONP-38899_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;num_ue_samples_q1,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144004_FPC_ALDERMAN_SUBSTATION,ManagedElement=144004_FPC_ALDERMAN_SUBSTATION,ENodeBFunction=1,EUtranCellFDD=144004_2_7'";'2020-07-06 12:00:00',3,1,eric-tcp-traffic-forward-kpi
SONP-38899_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;num_ue_samples_q2,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144023_GE_PLANT,ManagedElement=144023_GE_PLANT,ENodeBFunction=1,EUtranCellFDD=144023_1_4'";'2020-07-06 12:00:00',84,1,eric-tcp-traffic-forward-kpi
SONP-38899_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;num_ue_samples_q3,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144020_MANDALAY_BEACH_CLUB,ManagedElement=144020_MANDALAY_BEACH_CLUB,ENodeBFunction=1,EUtranCellFDD=144020_2_4'";'2020-07-06 12:00:00',55,1,eric-tcp-traffic-forward-kpi
SONP-38899_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;num_ue_samples_q4,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144014_FT_HARRISON_RELO,ManagedElement=144014_FT_HARRISON_RELO,ENodeBFunction=1,EUtranCellFDD=144014_1'";'2020-07-06 12:00:00',2,1,eric-tcp-traffic-forward-kpi
SONP-41057_subscriptionRatio,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;subscription_ratio,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_145,MeContext=145054_EUSTIS,ManagedElement=145054_EUSTIS,ENodeBFunction=1,EUtranCellFDD=145054_3'";'2020-07-06 12:00:00',0.5443666666666667,1,eric-tcp-traffic-forward-kpi
SONP-40301_ScheduleFlmAndVerifyExecution,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;connected_users,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144002_FPC_PC_SE_12_ELFERS,ManagedElement=144002_FPC_PC_SE_12_ELFERS,ENodeBFunction=1,EUtranCellFDD=144002_2'";'2020-07-06 12:00:00',22.122222222222224,1,eric-tcp-traffic-forward-kpi
SONP-40301_ScheduleFlmAndVerifyExecution,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_flm_60_kpis;unhappy_users,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144019_TECO_WESTCHASE,ManagedElement=144019_TECO_WESTCHASE,ENodeBFunction=1,EUtranCellFDD=144019_2'";'2020-07-06 12:00:00',3.1846034656544213,1,eric-tcp-traffic-forward-kpi
SONP-40300_ScheduleFlmAndVerifyExecution,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_flm_60_kpis;p_failing_r_mbps,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144021_JERRYS,ManagedElement=144021_JERRYS,ENodeBFunction=1,EUtranCellFDD=144021_1_2'";'2020-07-06 12:00:00',0.15323087835441543,1,eric-tcp-traffic-forward-kpi
SONP-40302_ScheduleFlmAndVerifyExecution,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_flm_60_kpis;goal_function_resource_efficiency,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144021_JERRYS,ManagedElement=144021_JERRYS,ENodeBFunction=1,EUtranCellFDD=144021_1_2'";'2020-07-06 12:00:00',0.8467691216455846,1,eric-tcp-traffic-forward-kpi
SONP-41887_initialAndAddedERabEstablishmentSr,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_1440_kpis;initial_and_added_e_rab_establishment_sr,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144002_FPC_PC_SE_12_ELFERS,ManagedElement=144002_FPC_PC_SE_12_ELFERS,ENodeBFunction=1,EUtranCellFDD=144002_2_2'";'2020-07-06 12:00:00',100,1,eric-tcp-traffic-forward-kpi
SONP-41887_initialAndAddedERabEstablishmentSr,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_1440_kpis;initial_and_added_e_rab_establishment_sr,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_145,MeContext=145108_CROWN_HIAWASSEE,ManagedElement=145108_CROWN_HIAWASSEE,ENodeBFunction=1,EUtranCellFDD=145108_2_8'";'2020-07-06 12:00:00',98.91892,1,eric-tcp-traffic-forward-kpi
SONP-41888_erabEstablishmentSrQCI1,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_1440_kpis;initial_and_added_e_rab_establishment_sr_for_qci1,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_145,MeContext=145778_ATC_ORLANDO_AIRPORT,ManagedElement=145778_ATC_ORLANDO_AIRPORT,ENodeBFunction=1,EUtranCellFDD=145778_2'";'2020-07-06 12:00:00',89.86834,1,eric-tcp-traffic-forward-kpi
SONP-41888_erabEstablishmentSrQCI1,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_1440_kpis;initial_and_added_e_rab_establishment_sr_for_qci1,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_146,MeContext=146114_SOUTHTRUST_BANK,ManagedElement=146114_SOUTHTRUST_BANK,ENodeBFunction=1,EUtranCellFDD=146114_3_4'";'2020-07-06 12:00:00',99.84725,1,eric-tcp-traffic-forward-kpi
SONP-41889_erabRetainabilityPercentageLost,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_1440_kpis;e_rab_retainability_percentage_lost,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_145,MeContext=145609_CLARK_WEST,ManagedElement=145609_CLARK_WEST,ENodeBFunction=1,EUtranCellFDD=145609_1'";'2020-07-06 12:00:00',13.18864774624374,1,eric-tcp-traffic-forward-kpi
SONP-41889_erabRetainabilityPercentageLost,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_1440_kpis;e_rab_retainability_percentage_lost,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_146,MeContext=146098_BOYNTON_BCH_ANI,ManagedElement=146098_BOYNTON_BCH_ANI,ENodeBFunction=1,EUtranCellFDD=146098_3_4'";'2020-07-06 12:00:00',0.06866952789699571,1,eric-tcp-traffic-forward-kpi
SONP-41890_erabRetainabilityPercentageLostForQCI1,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_1440_kpis;e_rab_retainability_percentage_lost_qci1,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144150_CROWN_LACOOCHEE,ManagedElement=144150_CROWN_LACOOCHEE,ENodeBFunction=1,EUtranCellFDD=144150_2_7'";'2020-07-06 12:00:00',33.333333333333336,1,eric-tcp-traffic-forward-kpi
