testCaseId,testCaseTitle,filter,containerName,cpuRequest,cpuLimit,memoryRequest,memoryLimit,persistentStorage
SONP-47141_VerifyResourceConfiguration,Common Resource Configuration,eric-oss-ec-son-common,eric-aut-policy-engine-ax-api:eric-aut-policy-engine-ax-dmaap-0:eric-aut-policy-engine-ax-dmaap-kafka:eric-aut-policy-engine-ax-mariadb-0:eric-aut-policy-engine-ax-pap:eric-aut-policy-engine-ax-pdp:eric-cm-topology-model-sn:eric-cm-son-topology-data-v2-0:eric-cm-son-topology-data-v2-bragent:eric-data-coordinator-zk:eric-data-message-bus-kf:eric-data-search-engine-data:eric-data-search-engine-ingest:eric-data-search-engine-master:eric-data-search-engine-bragent-0:eric-data-visualizer-kb:eric-eo-api-gateway:eric-log-shipper:eric-log-transformer:eric-nm-repository:eric-nm-repository-data-v2-0:eric-nm-repository-data-v2-bragent:eric-pm-kpi-calculator:eric-pm-kpi-data-v2-0:eric-pm-kpi-data-v2-bragent:eric-pm-kpi-spark-cluster-0:eric-pm-kpi-spark-cluster-worker-0:eric-pm-server-0:eric-oss-ec-son-common-eric-nfs-provisioner:eric-oss-ec-son-common-eric-nfs-provisioner-bur-0:eric-prometheus-pushgateway:eric-sec-access-mgmt:eric-sec-access-mgmt-data:eric-sec-access-mgmt-data-bragent:eric-sec-key-management-main:eric-sec-ldap-server-0:eric-sec-ldap-server-proxy:eric-spark-cluster-0:eric-spark-cluster-worker-0:eric-ctrl-bro:eric-data-distributed-coordinator-ed:eric-tcp-traffic-forward-kpi:eric-sec-sip-tls-main:eric-ldap-postgresql-sync-common:remotewriter,62327m,127270m,124.41GiB,205.79GiB,1666GiB
SONP-47141_VerifyResourceConfiguration,Mediation Resource Configuration,eric-oss-ec-son-mediation,eric-pm-stats-processor-er:eric-pm-stats-processor-data-v2-0:eric-pm-stats-spark-cluster-0:eric-pm-stats-spark-cluster-worker:eric-pm-events-processor-er:eric-pm-events-processor-data-v2-0:eric-pm-events-message-bus-kf:eric-pm-events-spark-v2-0:eric-pm-events-spark-v2-worker:eric-event-data-collector:eric-cm-change-mediator-er:eric-cm-loader-er:schemaregistry,92600m,123150m,163.12GiB,203.75GiB,581GiB
SONP-47141_VerifyResourceConfiguration,Flm Resource Configuration,eric-oss-ec-son-flm,eric-son-flm-data-v2-0:eric-son-flm-data-v2-bragent:eric-son-frequency-layer-manager:eric-ldap-postgresql-sync-flm:eric-tcp-traffic-forward-flm,4400m,6650m,5.0GiB,9.49GiB,20GiB
